Year,Number_yaws,polio_cases,cases_guinea_worm,Number_rabies,Number_malaria,Number_hiv,Number_tuberculosis,Number_smallpox,Number_cholera_cases,id,entity_id
1998,,9,695,40.39168,2646185.2,8041.921,10239.509,,206,460,19
1993,,483,0,14.687267,12040.165,58.71049,5794.533,,,461,11
1994,,112,0,15.207784,14208.158,63.710827,6029.7896,,18,462,11
1999,,41,492,40.594364,2700596.8,7527.045,10408.344,,855,463,19
1995,,35,0,15.644182,15122.474,69.74036,6174.878,,,464,11
2000,,1,186,41.186474,2772889,7123.5044,10572.767,,468,465,19
1996,,0,0,15.917799,14762.9,77.74702,6265.1616,,,466,11
2001,,0,172,41.948437,2915583,6803.0283,10709.998,,3943,467,19
1997,,0,0,16.159271,13487.223,84.98121,6351.6255,,,468,11
2002,,0,181,42.779755,3146611.8,6538.3794,10809.631,,270,469,19
2003,,2,30,43.72317,3418834.8,6307.468,10903.394,,434,470,19
1991,,0,0,0.012464642,0,908.95264,1222.1287,,,471,17
2004,,7,3,44.659725,3678848.2,6113.61,11023.615,,642,472,19
1998,,0,0,16.248281,11661.667,88.011246,6431.639,,,473,11
2005,,0,1,45.52215,3865651,5953.7954,11214.356,,749,474,19
2006,,0,0,46.045246,3914863.8,5888.8037,11463.51,,91,475,19
1999,,0,0,16.245728,9688.228,87.026306,6512.786,,,476,11
2007,,0,0,45.998764,3847735.8,5782.6587,11728.138,,,477,19
1992,,0,0,0.0113131935,0,1019.6906,1181.0869,,1,478,17
2000,,0,0,16.022724,7978.43,84.404755,6595.5557,,,479,11
2008,,7,0,45.717953,3731514.8,5502.2993,12006.054,,985,480,19
1993,,0,0,0.01026026,0,1080.5725,1146.3193,,1,481,17
2001,,0,0,15.364539,6364.8516,78.70482,6653.588,,,482,11
2009,,22,0,45.67737,3643694.8,5306.3413,12291.566,,74,483,19
1994,,0,0,0.009454718,0,1125.1593,1121.1691,,1,484,17
2002,,0,0,13.993611,4550.842,78.70301,6659.024,,,485,11
2011,,0,0,47.802372,3826078,5132.8916,12845.084,,755,486,19
1995,,0,0,0.008984055,0,1113.8798,1108.7953,,,487,17
2013,,0,0,51.62712,4265987.5,5027.981,13335.798,,528,488,19
1996,,0,0,0.008719874,0,1079.4645,1100.3625,,,489,17
2003,,0,0,12.388329,2811.4165,79.56264,6622.342,,,490,11
2014,,0,0,53.69093,4489937,4563.527,13570.795,,832,491,19
2004,,0,0,10.785144,1439.2867,83.12303,6552.644,,,492,11
2015,,0,0,55.59116,4668468.5,4016.9297,13796.397,,,493,19
2016,,0,0,57.216972,4771616.5,3684.3767,14012.608,,761,494,19
1997,,0,0,0.008498837,0,1013.33813,1086.723,,,495,17
1983,,182,0,,,,,,,496,7
2005,,0,0,9.632432,746.04865,89.44233,6463.4077,,,497,11
2017,,0,0,58.370663,4845689.5,3459.9934,14190.117,,11,498,19
1998,,0,0,0.008350205,0,914.6605,1069.8293,,,499,17
2006,,0,0,8.745838,520.0787,98.803925,6337.636,,,500,11
1984,,7,0,,,,,,,501,7
2018,,0,0,57.6133,4918460,3253.1973,14172.662,,,502,19
1999,,0,0,0.008341569,0,866.5748,1052.6124,,,503,17
2007,,0,0,7.9273057,333.8222,111.61113,6174.9824,,,504,11
1985,,14,0,,,,,,,505,7
2019,,9,0,54.624016,4975787,3102.3525,13899.606,,50,506,19
2000,,0,0,0.008560617,0,942.00256,1038.4095,,,507,17
2020,,3,0,,,,,,232,508,19
2001,,0,0,0.00903759,0,1012.00073,1023.66693,,,509,17
1980,,42,0,,,,,,,510,20
2008,,0,0,7.161968,190.76675,127.49264,6004.388,,,511,11
1986,,0,0,,,,,,,512,7
1981,,0,0,,,,,,,513,20
2009,,0,0,6.632153,94.8304,151.53418,5861.79,,,514,11
1982,,0,0,,,,,,,515,20
2002,,0,0,0.009782253,0,1065.0303,1005.2929,,,516,17
2010,,0,0,6.352415,49.982643,159.7667,5780.852,,,517,11
1987,,0,0,,,,,,,518,7
1984,,49,0,,,,,,,519,20
1988,,0,0,,,,,,,520,7
1985,,14,0,,,,,,,521,20
2003,,0,0,0.010733596,0,1089.0441,985.96735,,,522,17
1986,,42,0,,,,,,,523,20
2011,,0,0,6.282623,33.329826,231.52658,5741.7905,,,524,11
2004,,0,0,0.011862022,0,1129.0245,968.7854,,1,525,17
1989,,0,0,,,,,,,526,7
1987,,0,0,,,,,,,527,20
2012,,0,0,6.1978045,19.509794,257.01102,5704.014,,,528,11
2005,,0,0,0.012963325,0,1197.0104,956.58154,,2,529,17
1990,,0,0,1.5078027,1660.0945,5156.753,7092.7104,,,530,7
1988,,252,0,,,,,,,531,20
2006,,0,0,0.014295293,0,1184.9729,946.25586,,,532,17
1989,,0,0,,,,,,,533,20
2013,,0,0,6.1435556,9.012619,270.8732,5674.2812,,,534,11
1990,,0,0,4.537616,283252.53,25.195093,1603.0831,,,535,20
1991,,0,0,1.3015058,1544.3666,5359.861,6854.8477,,,536,7
2014,,0,0,6.09042,2.3394532,288.11484,5660.4814,,,537,11
2007,,0,0,0.01602616,0,1227.9221,934.36224,,,538,17
1991,,0,0,4.2959814,219335.47,22.765972,1528.1729,,422,539,20
1992,,0,0,1.1063824,1426.5679,5394.1147,6636.898,,,540,7
2015,,0,0,6.0905232,0,292.44003,5671.4785,,,541,11
2008,,0,0,0.017718885,0,1125.9583,922.40436,,,542,17
1993,,0,0,0.9345812,1307.2181,5397.697,6448.022,,2350,543,7
2016,,0,0,6.113381,0,294.2168,5733.8506,,,544,11
1994,,0,0,0.7994036,1186.8014,5499.325,6298.851,,889,545,7
1992,,0,0,4.11237,166941.86,21.48005,1472.7197,,494,546,20
1995,,0,0,0.7146847,1065.2274,5709.5503,6200.8174,,188,547,7
2009,,0,0,0.019485304,0,1055.0078,912.1978,,,548,17
1993,,0,0,4.016159,126903.07,22.080523,1445.9978,,,549,20
2010,,0,0,0.021662993,0,1009.99927,905.64026,,,550,17
1994,,0,0,3.9559896,96805.984,22.808584,1427.4858,,,551,20
2011,,0,0,0.022669978,0,929.194,900.81335,,,552,17
1995,,0,0,3.9211993,77667.53,24.39267,1411.4991,,25,553,20
2012,,0,0,0.022039864,0,888.3035,894.3077,,,554,17
1997,,0,0,3.8229947,54090.793,28.747353,1353.5839,,,555,20
1996,,0,0,0.65925753,931.68604,5889.9565,6151.465,,474,556,7
1997,,0,0,0.60611075,785.8901,6477.307,6130.5073,,637,557,7
1998,,0,0,0.5609319,644.00653,6927.8657,6121.401,,12,558,7
2013,,0,0,0.0202902,0,895.9986,886.1583,,,559,17
1998,,2,0,3.7350466,44492.22,31.05694,1310.3729,,19,560,20
1999,,0,0,0.52975124,522.86444,6833.344,6106.7817,,,561,7
2014,,0,0,0.018462662,0,924.0327,877.1536,,,562,17
1999,,0,0,3.625098,36708.375,33.457245,1263.3945,,,563,20
2000,,0,0,0.51903343,440.08246,6992.8066,6072.0215,,,564,7
2015,,0,0,0.017914094,0,941.74725,868.4676,,,565,17
2000,,0,0,3.505536,31088.531,35.694695,1220.3273,,,566,20
2001,,0,0,0.5222578,390.39594,6977.131,6006.7197,,,567,7
2016,,0,0,0.018936608,0,956.13257,855.0628,,,568,17
2001,,0,0,3.3331864,26195.09,37.877575,1181.6959,,,569,20
2017,,0,0,0.019862575,0,945.7535,841.72296,,,570,17
2002,,0,0,3.0901964,20828.06,40.03678,1143.8561,,,571,20
2002,,0,0,0.5285838,352.68164,7153.6494,5916.2227,,,572,7
2003,,0,0,2.825276,15594.679,42.43126,1105.996,,,573,20
2003,,0,0,0.5368071,321.135,7185.4443,5808.9546,,,574,7
2018,,0,0,0.019413032,0,934.50635,833.8435,,,575,17
2004,,0,0,0.54585195,289.68842,7153.8696,5693.6387,,,576,7
2019,,0,0,0.017775036,0,934.999,827.1862,,,577,17
2005,,0,0,0.55436337,251.87672,7328.543,5579.6724,,,578,7
2004,,0,0,2.5888693,11138.241,44.471638,1067.413,,,579,20
2020,,0,0,,,,,,,580,17
2006,,0,0,0.55728906,198.4892,7919.3257,5442.091,,,581,7
2005,,0,0,2.438347,8155.25,47.175518,1030.9254,,,582,20
2006,,0,0,2.3658931,6249.6885,50.298676,997.2474,,,583,20
1980,,21,0,,,,,,,584,18
1981,,0,0,,,,,,,585,18
2007,,0,0,0.5531797,133.17249,8252.138,5272.925,,,586,7
2007,,0,0,2.3196046,4587.57,53.080044,966.01324,,,587,20
2017,,0,0,6.201328,0,298.65662,5784.644,,,588,11
2008,,0,0,2.2912552,3206.644,56.797447,939.08,,,589,20
1982,,0,0,,,,,,,590,18
2018,,0,0,6.317775,0,303.5262,5667.425,,,591,11
2008,,0,0,0.54535526,69.01507,8418.49,5111.187,,,592,7
1983,,0,0,,,,,,,593,18
2009,,0,0,2.2674594,2152.5989,60.017067,916.2593,,,594,20
2009,,0,0,0.537463,19.778528,8638.933,4994.149,,,595,7
1984,,0,0,,,,,,,596,18
2010,,0,0,2.2370682,1496.3928,62.89119,898.9573,,,597,20
2010,,0,0,0.53342724,0,8522.109,4956.657,,,598,7
2019,,0,0,6.4710073,0,304.82303,5386.9526,,,599,11
1985,,0,0,,,,,,,600,18
2011,,0,0,2.1793964,1087.2994,68.05614,884.2922,,,601,20
2011,,0,0,0.53210765,0,8934.269,5058.7803,,,602,7
2020,,0,0,,,,,,,603,11
1986,,0,0,,,,,,,604,18
2012,,0,0,2.087356,728.98267,70.17269,866.5601,,,605,20
1980,,0,0,,,,,,,606,12
1981,,0,0,,,,,,,607,12
2012,,0,0,0.52998716,0,9233.937,5281.4766,,,608,7
2013,,0,0,0.5286387,0,9265.105,5544.8135,,,609,7
2013,,0,0,1.9807339,439.12784,72.133446,847.1412,,,610,20
1987,,0,0,,,,,,,611,18
1982,,0,0,,,,,,,612,12
1988,,0,0,,,,,,,613,18
2014,,0,0,0.5297483,0,9576.999,5765.7075,,,614,7
2014,,0,0,1.8813996,232.19106,76.26368,828.35504,,,615,20
1989,,0,0,,,,,,,616,18
1983,,0,0,,,,,,,617,12
2015,,0,0,0.53504884,0,9954.536,5853.3877,,,618,7
2015,,0,0,1.8080677,118.77861,77.64037,811.0164,,,619,20
1990,,0,0,0.019758154,6051.6616,57.639984,67.990364,,,620,18
1984,,0,0,,,,,,,621,12
2016,,0,0,0.55013776,0,10449.229,5781.7915,,,622,7
2016,,0,0,1.7567648,63.117958,75.843124,794.7175,,,623,20
1991,,0,0,0.014403569,5701.5366,62.234108,69.224335,,,624,18
1985,,0,0,,,,,,,625,12
2017,,0,0,1.7150006,38.087547,75.7578,778.51245,,,626,20
1992,,0,0,0.009641094,5358.997,67.29755,70.3936,,159,627,18
1986,,0,0,,,,,,,628,12
2018,,0,0,1.6749796,47.06151,75.47474,755.5536,,,629,20
2017,,0,0,0.56505936,0,10999.95,5692.883,,,630,7
1987,,0,0,,,,,,,631,12
2018,,0,0,0.5696193,0,11539.661,5643.045,,,632,7
2019,,0,0,0.5678664,0,11633.454,5596.742,,,633,7
1993,,0,0,0.0057951747,5033.0776,72.591805,71.561035,,135,634,18
1988,,0,0,,,,,,,635,12
2019,,0,0,1.6316248,80.26916,74.84879,724.7581,,,636,20
1994,,0,0,0.00322754,4733.31,78.01147,72.79789,,6,637,18
2020,,0,0,,,,,,,638,20
2020,,0,0,,,,,,,639,7
1995,,0,0,0.002314402,4470.6104,85.76809,74.190186,,19,640,18
1980,,336,0,,,,,,,641,21
1989,,0,0,,,,,,,642,12
1991,,21,0,8.69053,0,1.9496533,1495.1956,,,643,8
1996,,0,0,0.002816468,4185.059,96.48037,75.32419,,26,644,18
1981,,63,0,,,,,,,645,21
1990,,0,0,0.001654023,0,308.14337,56.097637,,,646,12
1997,,0,0,0.0040523624,3849.7412,107.0988,75.876656,,2,647,18
1982,,70,0,,,,,,,648,21
1991,,0,0,0.0015883755,0,467.7068,54.643467,,,649,12
1992,,7,0,10.066219,0,1.8591231,1405.2369,,,650,8
1983,,49,0,,,,,,,651,21
1992,,0,0,0.0015263952,0,324.62207,53.24946,,,652,12
1993,,0,0,11.406513,0,1.7864699,1332.1367,,,653,8
1998,,0,0,0.005734186,3527.7542,125.97586,76.09775,,28,654,18
1994,,35,0,13.24786,0,2.1334276,1281.5264,,,655,8
1993,,0,0,0.0014713488,0,272.32852,51.953808,,,656,12
1995,,21,0,15.202328,0,3.005632,1259.3013,,,657,8
1999,,0,0,0.007561648,3285.4001,142.95506,76.30561,,12,658,18
1994,,0,0,0.001429142,0,295.05612,50.89464,,,659,12
2000,,0,0,0.009210507,3193.3647,160.13626,76.887886,,,660,18
1996,,0,0,17.64264,89.671646,4.070093,1265.687,,,661,8
2001,,0,0,0.010753179,3193.1475,181.04243,77.20671,,,662,18
1995,,0,0,0.0014017725,0,270.09152,50.25417,,,663,12
1997,,0,0,20.315647,303.6544,5.6772275,1290.4052,,,664,8
2002,,0,0,0.01242991,3171.2844,186.70741,76.67931,,,665,18
1996,,0,0,0.0013550586,0,238.8777,49.75081,,,666,12
1997,,0,0,0.0012737131,0,216.324,49.11809,,,667,12
1998,,0,0,0.0011819494,0,199.9364,48.510662,,,668,12
1998,,0,0,23.029074,559.3444,7.38875,1323.7573,,25,669,8
1999,,0,0,24.947931,773.90295,10.6959095,1356.0282,,,670,8
2000,,0,0,26.292213,864.2048,15.834644,1378.6669,,,671,8
1999,,0,0,0.0011081352,0,145.45026,48.059155,,,672,12
2001,,0,0,24.481815,777.97687,21.899372,1397.4779,,,673,8
2000,,0,0,0.0010848407,0,228.34792,47.904854,,,674,12
2002,,0,0,19.765396,570.8879,27.472624,1419.4644,,,675,8
2001,,0,0,0.0011016225,0,212.40683,47.99915,,,676,12
2002,,0,0,0.001127299,0,201.63835,48.201855,,,677,12
2003,,0,0,13.548273,323.07718,31.88358,1440.3644,,,678,8
2003,,0,0,0.0011672707,0,197.87932,48.484547,,,679,12
2004,,0,0,8.031524,113.89763,35.167538,1455.7915,,,680,8
2004,,0,0,0.0012241902,0,223.2354,48.78568,,,681,12
2005,,0,0,0.001304425,0,225.8238,49.05166,,,682,12
2006,,0,0,0.0014347257,0,211.41199,49.121674,,,683,12
2007,,0,0,0.0016173846,0,214.28442,48.981216,,,684,12
2008,,0,0,0.0018225064,0,210.68214,48.740536,,,685,12
2007,,0,0,1.0851599,1589.5837,16945.457,8407.376,,,686,23
2010,,0,0,0.0021752398,0,216.6256,48.440296,,,687,12
2008,,0,0,1.0888206,2104.1516,16267.13,8573.214,,8,688,23
1980,,42,0,,,,,,,689,13
2009,,0,0,1.0946648,2562.9211,15488.468,8712.902,,15,690,23
1984,,0,0,,,,,,,691,21
1981,,35,0,,,,,,,692,13
1982,,0,0,,,,,,,693,13
2010,,0,0,1.1014996,2798.69,15011.866,8811.434,,,694,23
1983,,0,0,,,,,,,695,13
1985,,0,0,,,,,,,696,21
2011,,0,0,1.1101854,2621.5024,14335.358,8848.719,,,697,23
1986,,28,0,,,,,,,698,21
2012,,0,0,1.1216104,2091.4583,13363.945,8838.533,,,699,23
1984,,0,0,,,,,,,700,13
1987,,49,0,,,,,,,701,21
2013,,0,0,1.1352901,1419.0216,12635.162,8810.602,,,702,23
2003,,0,0,0.014141539,3119.9316,167.85284,75.88374,,,703,18
1988,,7,0,,,,,,,704,21
2014,,0,0,1.1507571,834.60126,12202.227,8793.589,,,705,23
1985,,0,0,,,,,,,706,13
2004,,0,0,0.015779575,3030.218,140.1338,75.494354,,,707,18
2015,,0,0,1.1685572,588.8548,11721.858,8816.726,,,708,23
1986,,0,0,,,,,,,709,13
2005,,0,0,0.017231986,2892.8699,114.59919,76.323425,,,710,18
1989,,14,0,,,,,,,711,21
2016,,0,0,1.1903174,2022.859,11051.832,8927.312,,,712,23
1987,,0,0,,,,,,,713,13
1990,,0,0,6.4129734,524628.5,767.968,13384.729,,,714,21
2017,,0,0,1.2091631,3815.71,10475.684,9040.9,,,715,23
1988,,0,0,,,,,,,716,13
2006,,0,0,0.018660365,2545.5435,107.48909,78.4042,,,717,18
1989,,0,0,,,,,,,718,13
2007,,0,0,0.020239053,1930.5876,102.34638,80.97801,,,719,18
2018,,0,0,1.2163793,4368.898,9741.926,8989.419,,,720,23
1990,,0,0,0.0047965283,0,13.207953,178.12999,,,721,13
2019,,0,0,1.2140039,4492.249,9251.085,8787.783,,,722,23
2008,,0,0,0.021837493,1213.5574,103.760864,83.75067,,,723,18
2020,,0,0,,,,,,,724,23
2010,,0,0,0.024347978,266.39453,134.66939,88.42858,,,725,18
1991,,0,0,0.0048517827,0,13.644559,183.18065,,,726,13
1980,,9394,0,,,,,,,727,24
1992,,0,0,0.00485006,0,13.814355,186.59013,,,728,13
1981,,854,0,,,,,,,729,24
1993,,14,0,0.0048201,0,13.56586,189.23912,,,730,13
1982,,483,0,,,,,,,731,24
1994,,0,0,0.0047784573,0,13.012018,191.77028,,,732,13
1983,,315,0,,,,,,,733,24
1984,,574,0,,,,,,,734,24
1985,,2303,0,,,,,,,735,24
1995,,0,0,0.0047267783,0,12.431893,194.67876,,,736,13
1986,,4284,0,,,,,,,737,24
1996,,0,0,0.0045580757,0,11.890666,197.45547,,,738,13
1987,,1379,0,,,,,,,739,24
1997,,0,0,0.0042431126,0,11.475845,198.84941,,,740,13
1988,,749,0,,,,,,,741,24
1989,,175,0,,,,,,,742,24
1998,,0,0,0.0038762796,0,11.17879,199.46664,,,743,13
1990,,0,0,83.63344,2036859.1,26948.254,63788.08,,,744,24
1999,,0,0,0.0035653266,0,11.034436,200.03319,,,745,13
1991,,0,0,69.74914,2025053.6,24791.227,66109.195,,2103,746,24
1992,,0,0,56.735336,2002818.4,24989.883,68097.39,,30317,747,24
1993,,0,0,45.39826,1973263.4,26734.35,69807.12,,59212,748,24
1987,,63,0,,,,,,,749,28
1994,,0,0,36.56222,1939571.8,29024.24,71317.95,,49455,750,24
1995,,0,0,31.059652,1904921.1,31690.27,72731.24,,15915,751,24
1988,,84,0,,,,,,,752,28
1996,,0,0,27.892899,1855068,36261.746,72761.75,,5522,753,24
1989,,154,0,,,,,,,754,28
1997,,0,0,25.383741,1783854.8,41368.48,70750.04,,2881,755,24
1990,,70,0,41.612972,2621195.8,38694.336,27878.121,,82,756,28
1998,,0,0,23.345978,1706992.2,46679.664,67787.5,,2571,757,24
1991,,49,0,40.360218,2593931,39230.254,26914.117,,3,758,28
1999,,0,0,21.580233,1641416.1,52335.84,65099.94,,4495,759,24
1992,,91,0,39.112236,2557917,37168.832,26022.695,,479,760,28
2000,,0,0,19.875423,1605159.5,50734.56,64063.59,,715,761,24
1993,,35,0,39.99288,2670138.2,33066.74,26490.852,,78,762,28
2001,,0,0,17.978935,1576930,46624.977,64391.93,,7,763,24
1994,,301,0,40.483334,2749876.8,28945.924,26717.982,,562,764,28
2002,,0,0,15.875821,1530313.2,45399.36,64827.934,,,765,24
1995,,70,0,39.486084,2697561,24749.773,26032.125,,2297,766,28
2003,,0,0,13.719372,1477403.6,45136.887,65351.02,,,767,24
1996,,30,0,38.98673,2675948.8,20697.674,25733.139,,418,768,28
1991,,0,0,5.9606957,488725,762.9625,13392.261,,206,769,21
2004,,0,0,11.675186,1431827.8,45298.367,65916.54,,21,770,24
1992,,0,0,5.508675,451223.78,772.9805,13398.249,,22260,771,21
1997,,0,0,39.541195,2722308.2,17601.545,26045.223,,1959,772,28
2005,,0,0,9.921415,1408911.6,46295.887,66456,,5,773,24
1993,,0,0,5.081058,412753.28,786.0211,13405.585,,10134,774,21
2006,,0,0,8.255371,1340957.6,47101.875,66329.05,,,775,24
1998,,0,0,40.3539,2770592.2,15387.452,26451.96,,1067,776,28
2007,,0,0,6.4833884,1181858.8,47582.098,65261.99,,,777,24
1999,,1,0,41.15714,2801743.8,13633.04,26772.691,,3440,778,28
2000,,0,0,0.0034401282,0,10.112326,201.53638,,,779,13
1994,,0,0,4.6754518,373978.34,792.9892,13411.01,,2710,780,21
2000,,0,0,41.984844,2836395.2,12188.366,27178.38,,1021,781,28
2001,,0,0,0.0035165518,0,10.354997,203.87628,,,782,13
1995,,0,0,4.2980895,335659.12,792.8319,13411.54,,2293,783,21
2008,,0,0,4.8169174,983513.3,49180.832,63774.504,,,784,24
2002,,0,0,0.0037150504,0,10.057216,208.14052,,,785,13
1996,,0,0,3.9221678,288883.6,783.7369,13390.389,,2847,786,21
2003,,0,0,0.0040143463,0,9.969756,215.67548,,,787,13
1997,,0,0,3.528864,230612.72,765.46674,13337.812,,1632,788,21
2001,,0,0,43.156654,2779372.5,10991.756,27591.977,,1003,789,28
2009,,0,0,3.4788373,801651.1,51691.766,62454.12,,,790,24
2002,,0,0,44.785595,2591271.8,9969.407,28092.893,,577,791,28
2010,,0,0,2.7039893,695640.75,54817.996,61961.773,,,792,24
2004,,0,0,0.0043739304,0,10.1595,225.23613,,,793,13
2003,,0,0,46.7202,2341098.2,9091.395,28729.475,,432,794,28
1998,,0,0,3.140107,171280.81,737.4031,13261.228,,466,795,21
2004,,0,0,48.59121,2093036,8269.416,29427.143,,819,796,28
2011,,0,0,2.305674,625064.8,57201.125,62070.21,,1,797,24
2005,,0,0,0.004727148,0,9.792827,234.35295,,,798,13
2005,,0,0,50.14121,1929822.5,7547.212,30219.1,,1309,799,28
1999,,0,0,2.7861104,122467.49,710.93463,13168.22,,,800,21
2012,,0,0,1.9509403,524171.47,59722.184,62119.92,,,801,24
2006,,0,0,50.839634,1841764.8,6994.9146,31109.596,,886,802,28
2006,,0,0,0.0049647135,0,10.473832,241.38885,,,803,13
2000,,0,0,2.500997,96823.89,692.8599,13068.384,,,804,21
2007,,0,0,50.885155,1772790.5,6465.7974,32294.371,,365,805,28
2007,,0,0,0.0050188447,0,11.240419,247.09712,,,806,13
2001,,0,0,2.253631,87350.73,685.63354,12933.063,,,807,21
2013,,0,0,1.6640034,418613.62,62648.29,62171.953,,,808,24
2008,,0,0,50.687214,1730567.9,5930.893,33802.2,,234,809,28
2002,,0,0,2.0071945,78220.95,701.7398,12740.017,,,810,21
2009,,2,0,49.81181,1689237.2,5336.7803,34907.99,,355,811,28
2003,,0,0,1.7792448,69663.7,744.40814,12520.051,,,812,21
2014,,0,0,1.4713116,336343.6,65659.15,62278.97,,,813,24
2010,,0,0,48.86913,1658787.4,4767.4517,35481.75,,333,814,28
2011,,0,0,48.718464,1661124,4369.9375,35986.64,,1072,815,28
2015,,0,0,1.4012498,307484.2,65520.316,62492.06,,,816,24
2004,,0,0,1.5945752,61928.88,814.01843,12304.716,,,817,21
2012,,0,0,48.959656,1679657.4,3994.9783,36406.24,,214,818,28
2016,,0,0,1.5137854,335778.38,65086.71,64088.47,,,819,24
2013,,0,0,48.90931,1694383.4,3598.949,36482.992,,1557,820,28
2005,,0,0,1.4804528,55275.227,909.09235,12129.27,,,821,21
2014,,0,0,48.335136,1703847.4,3167.1284,36354.637,,582,822,28
2006,,0,0,1.4256363,49550.402,1035.0078,11998.645,,,823,21
2017,,0,0,1.6396914,363743.34,64734.395,65635.97,,,824,24
2015,,0,0,47.612984,1733670.2,2755.6187,36760.49,,442,825,28
2007,,0,0,1.3811723,44367.164,1169.4858,11884.305,,,826,21
2016,,0,0,45.83992,2264246.8,2441.3696,38414.684,,434,827,28
2008,,0,0,1.3489034,39623.164,1312.0088,11779.463,,,828,21
2018,,0,0,1.6205786,337189,64317.918,65528.69,,,829,24
2017,,0,0,45.141632,2849179.2,2183.879,40606.58,,399,830,28
2009,,0,0,1.3279519,35201.965,1434.5494,11673.098,,,831,21
2018,,0,0,46.92722,2779090.5,1974.1166,41963.51,,92,832,28
2019,,0,0,1.5104233,259752.39,64763.234,64641.355,,,833,24
2019,,0,0,49.534466,2258965.5,1885.2888,42492.14,,1145,834,28
2020,,0,0,,,,,,,835,24
2003,,0,0,1.2618036,202.80865,245.66447,646.10803,,,836,32
2020,,0,0,,,,,,277,837,28
2010,,0,0,1.3172007,30969.781,1542.8296,11554.039,,,838,21
1980,,4137,0,,,,,,,839,29
2011,,0,0,1.3114159,26780.662,1589.3987,11425.822,,,840,21
2004,,0,0,1.2212579,144.37628,239.23541,645.007,,,841,32
1980,,0,0,,,,,,,842,25
1981,,3976,0,,,,,,,843,29
2012,,0,0,1.3142883,22671.71,1583.6582,11291.325,,,844,21
2005,,0,0,1.1902068,115.84554,230.18329,642.7247,,0,845,32
1982,,5705,0,,,,,,,846,29
1981,,0,0,,,,,,,847,25
2013,,0,0,1.3190622,18775.488,1627.7424,11138.6045,,,848,21
2006,,0,0,1.1681001,112.02532,219.34888,637.8763,,0,849,32
1983,,910,0,,,,,,,850,29
2014,,0,0,1.3209883,15232.869,1650.5504,10953.245,,,851,21
2007,,0,0,1.1434017,110.42789,211.53564,629.93604,,,852,32
1984,,6818,0,,,,,,,853,29
1982,,0,0,,,,,,6,854,25
2008,,0,0,1.1197964,109.65689,206.79573,620.07825,,,855,32
1985,,6517,0,,,,,,,856,29
2015,,0,0,1.3144938,12194.988,1636.8777,10720.153,,,857,21
1983,,0,0,,,,,,,858,25
1986,,4396,0,,,,,,,859,29
2009,,0,0,1.1013669,108.21219,202.49733,609.75195,,,860,32
1987,,2142,0,,,,,,474,861,29
1984,,0,0,,,,,,,862,25
2010,,0,0,1.0925264,104.471756,196.37244,600.5906,,,863,32
2016,,0,0,1.2821299,9713.518,1560.6143,10352.169,,,864,21
1988,,728,0,,,,,,56,865,29
2011,,0,0,1.0917242,91.56047,187.92882,591.4352,,,866,32
2017,,0,0,1.2490672,7709.8633,1572.9089,10036.032,,,867,21
1989,,1253,0,,,,,,47,868,29
1985,,0,0,,,,,,,869,25
2012,,0,0,1.0965122,68.28722,179.74242,580.5536,,,870,32
2018,,0,0,1.2434165,6266.4175,1586.8198,9901.166,,,871,21
1990,,441,0,117.88535,420439.03,1006.67725,42946.72,,5,872,29
2013,,0,0,1.1039553,41.855164,174.52614,569.3821,,,873,32
2019,,0,0,1.2495567,5407.9565,1597.6351,9847.986,,,874,21
1986,,0,0,,,,,,,875,25
1991,,588,0,123.03218,375043.94,3088.3293,43405.387,,770,876,29
2014,,0,0,1.1113054,19.980108,168.51129,559.32965,,,877,32
1992,,1022,0,127.54882,336552.06,8548.342,43964.164,,1229,878,29
1987,,0,0,,,,,,,879,25
2015,,0,0,1.1159295,10.8895445,161.03326,551.80835,,,880,32
2020,,0,0,,,,,,,881,21
1993,,945,0,131.26085,306870.72,16321.126,44598.87,,2252,882,29
2016,,0,0,1.1056097,328.53705,152.7745,547.91833,,,883,32
1991,,0,0,1.3063489,0,5.974386,1252.3068,,,884,22
1994,,2079,0,134.10736,288857.3,21784.418,45297.88,,3085,885,29
1988,,0,0,,,,,,,886,25
2017,,0,0,1.0930256,741.59186,143.62468,542.60236,,,887,32
1995,,910,0,136.34418,286054.06,24035.6,46180.695,,4190,888,29
2018,,0,0,1.0872078,1668.9316,133.0661,526.45636,,,889,32
1992,,0,0,1.3380651,0,5.6403766,1240.075,,,890,22
1996,,93,0,137.4516,302571.2,20805.357,47338.324,,740,891,29
1989,,0,0,,,,,,,892,25
2019,,0,0,1.0783377,3428.1602,126.587456,499.0362,,,893,32
1993,,0,0,1.3727772,0,5.188512,1219.8723,,,894,22
1997,,9,0,137.04605,334736.8,17150.389,48773.707,,155,895,29
2020,,0,0,,,,,,,896,32
1990,,0,0,0.058247562,0,4.843064,155.05913,,,897,25
1994,,0,0,1.4178592,0,4.7262645,1193.0165,,,898,22
1998,,0,0,135.4202,373223.03,11812.938,50380.133,,1197,899,29
2008,243,3,0,3.589167,1970063.5,11957.361,21273.451,,,900,33
1995,,0,0,1.4449264,0,4.3690767,1159.1788,,,901,22
1999,,0,0,132.78726,407663.4,9241.51,51936.543,,1711,902,29
1991,,0,0,0.071790025,0,5.538673,154.95436,,,903,25
2012,230,0,0,3.7559445,1960159.8,10450.328,22461.39,,21,904,33
